baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01140	51.4289666251003	1.55646439103875	0.387768968808475	4.01389620170332	5.97246187030698e-05	0.00153316563231559
AT1G01380	81.3235720528327	1.69813972304331	0.332378146425513	5.1090594893364	3.23766409590437e-07	1.31794179780385e-05
AT1G01480	95.9314357152285	0.774233959090111	0.244097636617384	3.17182079195507	0.00151486456250796	0.0237843888049462
AT1G01490	1131.34829595335	0.533718445674159	0.119669910931641	4.45992180924272	8.19895594024582e-06	0.00026075895166821
AT1G01570	112.274884787077	0.916402028235648	0.276989851410054	3.30843178394652	0.000938200378992401	0.015953946122124
AT1G01580	19319.5178958587	5.8887623598291	0.102197849227718	57.6211965743794	0	0
AT1G01630	1136.41675980922	0.522012535286987	0.10409603698927	5.01472054446025	5.31106013921224e-07	2.08158018764739e-05
AT1G01790	609.417278933593	0.5348709564512	0.103679839219634	5.15887139174798	2.48442887166376e-07	1.03735974629509e-05
AT1G01800	1740.88322504648	0.545107495121818	0.0869427684244214	6.26972783361132	3.61679727666912e-10	2.16658486863196e-08
AT1G02360	698.412879204188	0.533560613652758	0.102503370623528	5.20529822977635	1.93685294481653e-07	8.23396798274221e-06
AT1G02500	19960.8362215244	1.97502193204582	0.105650495196572	18.6939202544306	5.54823002303737e-78	2.24980727434165e-75
AT1G02520	1258.22387923851	0.630701361033202	0.0760995270386373	8.2878486316082	1.15315201272682e-16	1.04357782576643e-14
AT1G03080	5779.74328597278	0.528521110039175	0.0523940595613041	10.0874243084901	6.27955951326425e-24	8.43380840106306e-22
AT1G03290	1274.02119807564	0.723342934537623	0.106371272557131	6.80017186171315	1.04494419129368e-11	7.15379649922678e-10
AT1G03470	318.369957736647	0.620532260552365	0.163967741576182	3.78447769413263	0.000154031720981251	0.00349237942861361
AT1G03905	335.627788316434	0.515767315141193	0.130679679965166	3.94680577178238	7.9200755215712e-05	0.00195782781298769
AT1G03950	427.810088190772	0.58460682985468	0.13053196303803	4.47864887839276	7.51169727500141e-06	0.000241083179209558
AT1G05200	183.663509863859	0.850295631435685	0.224505450370728	3.78741643034316	0.000152221858665462	0.00346251360498374
AT1G05530	254.624485512566	0.915807080066142	0.199831632932652	4.58289344197468	4.58585760160698e-06	0.00015485891119123
AT1G05680	170.201412994768	1.43001953420888	0.20263405132131	7.05715315310626	1.69948285184731e-12	1.22304762505298e-10
AT1G05700	523.868020729637	1.25836360407616	0.126258549536367	9.96656154135287	2.13492190682331e-23	2.77882489674545e-21
AT1G05843	22.5052856830092	2.54054356199838	0.586305951415891	4.33313623350255	1.47000080757117e-05	0.000440290298699512
AT1G06550	2576.11164720162	0.65241732077569	0.0669746088985603	9.7412636147505	2.01038725677958e-22	2.48306327423988e-20
AT1G07373	92.9223076628907	4.49797401509785	0.389104424969614	11.5598120361882	6.5852774826652e-31	1.25096541440972e-28
AT1G07560	273.693469418771	0.548609023075552	0.174250843022837	3.14838662217349	0.00164174396100556	0.0252684767604112
AT1G07610	9667.17171873241	1.00314512920407	0.0780328898455208	12.8554143155529	8.01950264410436e-38	1.7432910593153e-35
AT1G08320	1198.33241226082	0.950760399999862	0.09112305471921	10.4338073710278	1.73782237751584e-25	2.52715328636545e-23
AT1G08340	303.257470088083	0.538559472452631	0.158055583052261	3.40740555981852	0.000655835997561678	0.01189076340893
AT1G08440	53.8553306714791	2.24552504618645	0.385945215883232	5.81824817039795	5.94675669556012e-09	2.99268046975133e-07
AT1G08650	1660.32567833144	0.912948697386277	0.114876948485207	7.94718792085465	1.90792879141785e-15	1.62220106838051e-13
AT1G08990	500.895519545065	0.585874412911977	0.120257084384448	4.87184947074722	1.10558391876633e-06	4.11878842952418e-05
AT1G09170	271.822256573443	0.743323007194301	0.175234394148762	4.24187848969461	2.21656695938357e-05	0.000632446798982447
AT1G09505	94.2407096045839	5.85826013417898	0.550649446064753	10.6388196266161	1.96604126021631e-26	3.04823132447949e-24
AT1G09560	12021.0824661879	2.93573695495073	0.282805195404774	10.3807744788736	3.03304568158128e-25	4.35066675114442e-23
AT1G09605	74.2658240269925	1.56879262349772	0.308895356817958	5.07871869508954	3.79988851647125e-07	1.52909254309757e-05
AT1G09790	97.3486398330606	5.42199894428737	0.481654803629767	11.2570224638621	2.1386298751787e-29	3.75792912900151e-27
AT1G11100	395.194262685192	0.725925798140588	0.127825848822624	5.67902192574456	1.35467115922861e-08	6.59690440265461e-07
AT1G11920	25.2211925227007	2.41359270714976	0.622034407786001	3.88015948465042	0.000104387994356756	0.00248996068892145
AT1G12030	32.6622121925885	4.1000951268927	0.5946271436405	6.89523707543957	5.37750459782418e-12	3.74224626896768e-10
AT1G12040	980.346264728946	0.545414549059757	0.185209715005947	2.94484848725264	0.00323112846916679	0.0427093589155444
AT1G12420	675.660339160546	0.536482222200244	0.102630055299695	5.2273402818856	1.71965836812974e-07	7.4152794172564e-06
AT1G12560	389.268564439659	0.582578511537584	0.170373618330058	3.4194173795674	0.000627553867103706	0.0115266557854954
AT1G13245	199.242225536449	0.658069518217687	0.193740478609484	3.39665475661457	0.000682149723894592	0.0122938539128559
AT1G13609	39.7006362248236	8.63145550837663	1.23503017660856	6.98886203094964	2.77124774005498e-12	1.96089026331542e-10
AT1G14182	56.7317050531471	5.95089555593886	0.710060108062072	8.38083352151737	5.25541897942382e-17	4.83911635808431e-15
AT1G14185	622.560648185707	4.56453406839326	0.167161733387145	27.3060943788004	3.5906102653167e-164	3.7855804027234e-161
AT1G14200	358.09870322246	0.885509218443474	0.159541630072705	5.55033327690043	2.85125514090905e-08	1.32426356610591e-06
AT1G14540	128.940737813369	0.851497902852998	0.221218566426308	3.84912494737031	0.000118540533322796	0.0027803622754666
AT1G14860	628.745768992467	1.59301411887551	0.138910832536074	11.4678897951448	1.91266561994023e-30	3.60093457696962e-28
AT1G14870	2766.98957604229	0.57805476895565	0.0872631223959331	6.62427326784023	3.48960685366145e-11	2.26405692665555e-09
AT1G15670	1021.33968831759	1.08007737784179	0.109087009175349	9.90106325223053	4.11872623957123e-23	5.26348251439993e-21
AT1G16140	87.6154596917238	1.2969422850371	0.263114786812356	4.92918813400644	8.25720310023919e-07	3.13802725979219e-05
