baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G03130	26.5706486751063	-2.26635820968031	0.543900171991688	-4.16686430044914	3.08818202700061e-05	0.000845441256034592
AT1G04117	17.4691981158868	-4.18700109386703	0.927862205616284	-4.51252467071447	6.40604805009089e-06	0.000208132402441012
AT1G04540	118.360394829801	-0.690561841669263	0.207028030360949	-3.33559586334895	0.00085116801787466	0.0147233214314234
AT1G05300	205.113800954991	-0.849595290025758	0.171237468230833	-4.96150345367451	6.99496263849784e-07	2.69644940028091e-05
AT1G05575	354.120357137084	-0.764681867138838	0.245375523471429	-3.11637385962776	0.00183089991232027	0.0273998265090029
AT1G06680	237.272730858971	-0.876345583553192	0.174845064114504	-5.01212652465434	5.38317874149035e-07	2.10593148317376e-05
AT1G07135	387.727766720221	-0.65318357284093	0.167073908911549	-3.90954863686545	9.24687369665118e-05	0.00223857151283108
AT1G07890	10653.6634958669	-0.560545940246683	0.0907958093128512	-6.1736983731841	6.67107549013562e-10	3.8224537441576e-08
AT1G08315	61.8604439105742	-1.01322642544173	0.329352368612206	-3.07642064246013	0.00209502061793566	0.0305925240649525
AT1G09750	346.148650765034	-0.742789057641244	0.167672903106156	-4.42998864981168	9.4238048003618e-06	0.000295699922649448
AT1G10340	161.316172853023	-0.805200464129326	0.261061951572714	-3.08432714640553	0.00204013122752043	0.0300406473907093
AT1G10560	227.09701726458	-0.547433814343917	0.182309096732017	-3.00277838109533	0.00267527171614632	0.0369202734644566
AT1G10970	193.625771877999	-0.701779967154666	0.206318445160305	-3.40144075150139	0.000670316571671621	0.0121116497260221
AT1G11070	165.606055470269	-1.11098143728957	0.236433437037148	-4.69891844068999	2.61542867280393e-06	9.08549077343387e-05
AT1G11080	751.145474816753	-0.765143224898088	0.120716805996995	-6.33833225273647	2.32265533530995e-10	1.42785744607422e-08
AT1G13080	585.634998764171	-1.15605067548407	0.106447846937878	-10.86025418775	1.78252344668624e-27	2.89125303052508e-25
AT1G14480	255.534517967729	-0.649601728863911	0.205733843795858	-3.15748598713047	0.00159135884936644	0.0246368522009845
AT1G14960	117.630979296177	-0.840142597977549	0.254978739927331	-3.29495156426372	0.000984386453644291	0.0166054182092348
AT1G15040	171.656782004537	-0.804885035499058	0.278865602755595	-2.88628295331383	0.00389821519213873	0.0491907633401779
AT1G15380	2319.56638991262	-0.88631699343405	0.0861275445612431	-10.2907495848069	7.75701302442021e-25	1.09042917755283e-22
AT1G15540	12.8124345829538	-2.79636583910668	0.754950327987856	-3.70403950490325	0.000212193191077492	0.00458432953592213
AT1G18570	478.151982082577	-0.637115651813302	0.201298709566797	-3.16502601126654	0.00155069087682534	0.0241490899769122
AT1G20450	1048.98869517331	-0.608791360181863	0.1461317353753	-4.16604482673354	3.09929785234683e-05	0.000846525835681156
AT1G20630	273.601427705762	-0.988925805923906	0.176606917594989	-5.59958703425084	2.14863038165991e-08	1.02270926021853e-06
AT1G21100	439.688306254901	-0.855861625689027	0.168434670299666	-5.0812675571267	3.74924592594549e-07	1.51159846260969e-05
AT1G21110	1026.19314265819	-1.51620637246401	0.139166319567144	-10.8949232628982	1.21869255778292e-27	1.99204273437291e-25
AT1G21120	304.322727189009	-0.97397831198597	0.220746388890928	-4.41220496008755	1.02323178589708e-05	0.000318228103796842
AT1G21130	225.238992133299	-0.795683730313719	0.257689572267627	-3.08776068550943	0.00201670804763058	0.0297164960812987
AT1G21140	209.793086825263	-2.07711887029701	0.196447513727134	-10.5734037091563	3.9586110841132e-26	6.00512757695043e-24
AT1G22880	106.275498598418	-1.16100706914382	0.321892780903685	-3.60681300737592	0.000309980877762971	0.00637683589122927
AT1G24530	239.852726634945	-0.67454274556674	0.199013569697674	-3.38943091464292	0.00070037854433944	0.0125571409644067
AT1G24793	32.8761106534177	-1.83718295791015	0.511545914091312	-3.59143315839721	0.000328864526423127	0.00669347239783596
AT1G25055	756.771595089539	-0.59612597199333	0.155957038954328	-3.82237298162543	0.000132173565556266	0.00304591453914691
AT1G26250	611.500594281953	-0.874491046949039	0.146011001026842	-5.98921342090022	2.10858319223814e-09	1.14297134168467e-07
AT1G30370	873.786170041674	-1.09818773840607	0.19024340464216	-5.77254039619253	7.80852159632679e-09	3.86503489155274e-07
AT1G30380	183.170144403254	-0.735936309269045	0.188065392393605	-3.91319370301151	9.10834128380047e-05	0.00220756878517491
AT1G30720	570.64805946526	-0.544149854848172	0.115659178406123	-4.70477019071894	2.54152074475009e-06	8.87260040129146e-05
AT1G30730	985.4621673107	-0.60459034720166	0.152383826333448	-3.96754932428778	7.26154865485189e-05	0.00182282160638342
AT1G31330	338.290600796886	-0.706886499085093	0.142898250810365	-4.94678202900593	7.54503818590721e-07	2.89263045796435e-05
